Week,Category,Price,Spec
28,3,1.923935484,Plaice
29,3,1.897265625,Plaice
30,3,1.898813559,Plaice
31,3,1.948,Plaice
32,3,1.914362416,Plaice
33,3,1.99621118,Plaice
34,3,1.921192053,Plaice
35,3,2.094522293,Plaice
36,3,2.082663317,Plaice
37,3,2.021771429,Plaice
38,3,1.998682635,Plaice
39,3,2.059775281,Plaice
40,3,2.029038462,Plaice
41,3,2.014597701,Plaice
42,3,2.071474359,Plaice
43,3,2.166315789,Plaice
44,3,2.017175573,Plaice
45,3,2.050805369,Plaice
46,3,2.058120301,Plaice
47,3,2.0272,Plaice
48,3,1.885639098,Plaice
49,3,1.790294118,Plaice
50,3,1.722222222,Plaice
51,3,1.749473684,Plaice
52,3,1.9764,Plaice
0,4,1.898888889,Plaice
1,4,1.678803419,Plaice
2,4,1.606,Plaice
3,4,1.62776699,Plaice
4,4,1.685918367,Plaice
5,4,1.587368421,Plaice
6,4,1.6884375,Plaice
7,4,1.676162791,Plaice
8,4,1.777021277,Plaice
9,4,1.820333333,Plaice
10,4,1.88776699,Plaice
11,4,1.942745098,Plaice
12,4,1.925744681,Plaice
13,4,1.948962264,Plaice
14,4,1.895752212,Plaice
15,4,1.893980583,Plaice
16,4,1.888103448,Plaice
17,4,1.711825397,Plaice
18,4,1.824883721,Plaice
19,4,1.821726619,Plaice
20,4,1.904537815,Plaice
21,4,1.850735294,Plaice
22,4,1.897165354,Plaice
23,4,1.879044118,Plaice
24,4,1.928661972,Plaice
25,4,1.901544118,Plaice
26,4,1.73556391,Plaice
27,4,1.705153846,Plaice
28,4,1.70620438,Plaice
29,4,1.619082569,Plaice
30,4,1.512926829,Plaice
31,4,1.653157895,Plaice
32,4,1.688059701,Plaice
33,4,1.663178295,Plaice
34,4,1.745528455,Plaice
35,4,1.7824,Plaice
36,4,1.8215625,Plaice
37,4,1.782482759,Plaice
38,4,1.736853147,Plaice
39,4,1.725347222,Plaice
40,4,1.753209877,Plaice
41,4,1.775394737,Plaice
42,4,1.791895425,Plaice
43,4,1.934234234,Plaice
44,4,1.945170068,Plaice
45,4,1.910153846,Plaice
46,4,1.819370079,Plaice
47,4,1.959918699,Plaice
48,4,1.792095238,Plaice
49,4,1.826585366,Plaice
50,4,1.753783784,Plaice
51,4,1.817777778,Plaice
52,4,2.006666667,Plaice
0,0,6.725,Turbot
1,0,7.156666667,Turbot
2,0,10,Turbot
3,0,5.99,Turbot
4,0,5.65,Turbot
5,0,7.741346749,Turbot
6,0,8.056666667,Turbot
7,0,7.676666667,Turbot
8,0,8.408382353,Turbot
9,0,6.87,Turbot
10,0,8.218101135,Turbot
11,0,6.57,Turbot
12,0,8.343849673,Turbot
13,0,8.48218091,Turbot
14,0,8.11,Turbot
15,0,8.304987995,Turbot
16,0,7.780697343,Turbot
17,0,6.065,Turbot
18,0,8.836666667,Turbot
19,0,9.43,Turbot
20,0,6.19,Turbot
21,0,6,Turbot
22,0,4.84,Turbot
23,0,7.68,Turbot
24,0,8.94,Turbot
25,0,6.775,Turbot
26,0,6.857056022,Turbot
27,0,6.565,Turbot
28,0,6.97,Turbot
29,0,8.3275,Turbot
30,0,8.82,Turbot
31,0,7.537965351,Turbot
32,0,16.54,Turbot
33,0,18.82,Turbot
34,0,4.255,Turbot
35,0,7.4075,Turbot
36,0,18.87,Turbot
37,0,5.9425,Turbot
38,0,3.77,Turbot
39,0,5.54,Turbot
40,0,5.035,Turbot
41,0,10.4075,Turbot
42,0,5.345,Turbot
43,0,4.635,Turbot
44,0,7.037490379,Turbot
45,0,6.935,Turbot
46,0,5.646666667,Turbot
47,0,5.656666667,Turbot
48,0,6.62,Turbot
49,0,6.87,Turbot
50,0,12.065,Turbot
51,0,7.514767802,Turbot
52,0,6.944044118,Turbot
0,1,26.97892857,Turbot
1,1,23.79876712,Turbot
2,1,20.15230769,Turbot
3,1,21.28489796,Turbot
4,1,22.81490909,Turbot
5,1,24.36297872,Turbot
6,1,26.12744186,Turbot
7,1,23.7083871,Turbot
8,1,24.25758621,Turbot
9,1,23.28757576,Turbot
10,1,23.56929825,Turbot
11,1,23.44481013,Turbot
12,1,20.14746032,Turbot
13,1,19.64214286,Turbot
14,1,17.96988095,Turbot
15,1,17.70310811,Turbot
16,1,16.48407767,Turbot
17,1,15.76240385,Turbot
18,1,15.72176471,Turbot
19,1,15.17814159,Turbot
20,1,14.04114943,Turbot
21,1,14.60309278,Turbot
22,1,14.59392523,Turbot
23,1,14.16738636,Turbot
24,1,14.32546218,Turbot
25,1,14.2444186,Turbot
26,1,15.538,Turbot
27,1,16.04111111,Turbot
28,1,17.5643662,Turbot
29,1,19.87983051,Turbot
30,1,20.59096774,Turbot
31,1,21.73343284,Turbot
32,1,19.14546875,Turbot
33,1,20.49333333,Turbot
34,1,20.73724638,Turbot
35,1,22.47449438,Turbot
36,1,22.47896104,Turbot
37,1,24.27987013,Turbot
38,1,21.35368421,Turbot
39,1,21.57318681,Turbot
40,1,21.38525641,Turbot
41,1,20.15085366,Turbot
42,1,20.33759494,Turbot
43,1,20.19567901,Turbot
44,1,19.54946237,Turbot
45,1,20.345625,Turbot
46,1,19.35697674,Turbot
47,1,21.0648,Turbot
48,1,21.44465909,Turbot
49,1,24.58658228,Turbot
50,1,26.25096774,Turbot
51,1,25.8083871,Turbot
52,1,28.03866667,Turbot
0,2,21.7547619,Turbot
1,2,19.08487805,Turbot
2,2,16.15039216,Turbot
3,2,16.66192982,Turbot
4,2,17.89980392,Turbot
5,2,19.13211538,Turbot
6,2,19.49447368,Turbot
7,2,19.2202381,Turbot
8,2,17.31785714,Turbot
9,2,18.36064516,Turbot
10,2,18.85921875,Turbot
11,2,18.42466667,Turbot
12,2,17.25471698,Turbot
13,2,16.75538462,Turbot
14,2,15.199,Turbot
15,2,15.11909091,Turbot
16,2,13.92044776,Turbot
17,2,13.5291358,Turbot
18,2,12.79414894,Turbot
19,2,12.61597701,Turbot
20,2,11.59516667,Turbot
21,2,12.1202381,Turbot
22,2,12.10125,Turbot
23,2,11.95038462,Turbot
24,2,11.8824,Turbot
25,2,11.68402439,Turbot
26,2,12.27223684,Turbot
27,2,13.15617647,Turbot
28,2,14.34623377,Turbot
29,2,15.85016129,Turbot
30,2,16.62906977,Turbot
31,2,17.35019608,Turbot
32,2,17.30288136,Turbot
33,2,17.07816901,Turbot
34,2,16.93175,Turbot
35,2,18.0661039,Turbot
36,2,16.87876289,Turbot
37,2,17.43974684,Turbot
38,2,16.13767442,Turbot
39,2,16.32216216,Turbot
40,2,15.29578313,Turbot
41,2,15.55283784,Turbot
42,2,13.93222222,Turbot
43,2,14.46328571,Turbot
44,2,15.3952439,Turbot
45,2,15.07857143,Turbot
46,2,14.3035,Turbot
47,2,16.205,Turbot
48,2,16.65013889,Turbot
49,2,18.62477612,Turbot
50,2,19.8725,Turbot
51,2,19.23314286,Turbot
52,2,24.57615385,Turbot
0,3,17.72428571,Turbot
1,3,14.61493976,Turbot
2,3,13.81352941,Turbot
3,3,13.36208333,Turbot
4,3,14.11597015,Turbot
